model,rmse,mae,r2
xgboost,0.004657131849882203,0.003861688334698832,0.7979645260472549
random_forest,0.004702685168733102,0.0035439660634988416,0.793992812248826
lightgbm,0.005014699423307335,0.004242999519239746,0.7657495804394364
linear_regression,0.005782374199789875,0.005015166296786491,0.6885395190844681
